folder,domain_id,value,display_name,description
,month,1,January,
,month,2,February,
,month,3,March,
,month,4,April,
,month,5,May,
,month,6,June,
,month,7,July,
,month,8,August,
,month,9,September,
,month,10,October,
,month,11,November,
,month,12,December,
,negativityscore,1,Acceptable,
,negativityscore,2,Elevated,
,negativityscore,3,Highly Elevated,
,neveroralways,100,Never,
,neveroralways,75,Almost never,
,neveroralways,50,Sometimes,
,neveroralways,25,Often,
,neveroralways,0,Almost always,
,neveroralways2,0,Never,
,neveroralways2,1,Almost never,
,neveroralways2,2,Sometimes,
,neveroralways2,3,Often,
,neveroralways2,4,Almost always,
,nodepression,1,Child is not of age,
,nodepression,2,Other,
,nonengoodbitoftime,1,None to some of the time,
,nonengoodbitoftime,2,A good bit to all of the time,
,normal,1,Normal,
,normal,2,Abnormal,
,normal,99,Not done,
,notapplicable,99,Not applicable / No brothers or sisters,
,notattending,99,Not attending,
,notrequired,99,Not required at this visit,
,notsure,88,Not sure,
,noyes,0,No,
,noyes,1,Yes,
,noyesage,0,No,
,noyesage,1,Yes,
,noyesage,2,Only when child was younger than 5 years old,
,noyesdontknow,0,No,
,noyesdontknow,1,Yes,
,noyesdontknow,88,Don't know,
,noyesmissing,-9,Missing,
,noyesmissing,0,No,
,noyesmissing,1,Yes,
,noyesnotsure,0,No,
,noyesnotsure,1,Yes,
,noyesnotsure,88,Not sure,
,obesebmi95,0,Obese BMI %  < 95,
,obesebmi95,1,Obese BMI % >= 95,
,othersurgery,5,Checked,
,overweightbmi85,0,Overweight BMI %  < 85,
,overweightbmi85,1,Overweight BMI % >= 85,
,oximetertype,1,Masimo,
,oximetertype,2,Nonin,
,oximetertype,3,Nonin Biologic,
,parentrace,1,Black,
,parentrace,2,White,
,parentrace,3,Other,
,parentrace,8,Not sure,
,parentrace,9,Missing,
,partialvolhemolysis,1,Partial volume,
,partialvolhemolysis,2,Hemolysis,
,participant,1,Completed all,Participant successfully completed all required study visits
,participant,2,Lost to follow up,Participant lost to follow-up
,participant,3,Withdrew,Participant withdrew consent
,participant,6,Medical problem,New medical problem determined to make continued participation unsafe
,participant,8,Declined,Participant declined their assigned randomization arm
,participant,98,Other,
,passedorfailed,1,Passed,
,passedorfailed,2,Failed at Reading Center,
,passedorfailed,3,"Failed, study not sent",
,position,1,Position I,
,position,2,Position II,
,position,3,Position III,
,position,4,Position IV,
,position,99,Not done,
,present,0,Not present,
,present,1,Present,
,present,.,Missing,
,ptreatment,1,Alternative treatment needed,Child's physician has identified a change in signs or symptoms that warrants alternative treatment for osa (initiation of cpap for example)
,ptreatment,5,Bacterial tonsillitis,Recurrent bacterial tonsillitis (3 or more episodes of streptococcal culture positive infection occuring over a 3 month period)
,ptreatment,8,Hypertension,"New onset stage 2 hypertension, which is not better explained by another medical condition"
,ptreatment,10,Wanted adenotonsillectomy,10: Parent / caregiver decision to have adenotonsillectomy surgery (wwsc group)
,ptreatment,11,Declined adenotonsillectomy,Parent / caregiver decision to not have adenotonsillectomy  surgery (eat group)
,ptreatment,98,Other,"Other medical or neuropsycholigical necessitated reason, specify"
,race3,1,White,
,race3,2,Black,
,race3,3,Other,
,randomizationarm,1,Early adenotonsillectomy (EAT),
,randomizationarm,2,Watchful waiting with supportive care (WWSC),
,reasonsforfailure,1,Oximetry,
,reasonsforfailure,2,EEG,
,reasonsforfailure,3,Short recording,
,reasonsforfailure,4,Multiple,
,reasonsforfailure,5,No signals,
,reasonsforfailure,6,Respiratory,
,reasonsforfailure,7,Participant issue,
,reasonsforfailure,8,Other,
,recruitsource,1,OTL,
,recruitsource,2,Sleep clinic,
,recruitsource,3,Sleep lab,
,recruitsource,4,Pediatric clinic,
,recruitsource,5,Community,
,recruitsource,6,Advertisement,
,recruitsource,7,Chart review,
,recruitsource,98,Other,
,samplestatus,1,"Yes, full sample",
,samplestatus,2,"Yes, partial sample",
,samplestatus,3,"No, refused",
,samplestatus,4,"No, hard to stick",
,samplestatus,98,"No, other",
,school,0,No,
,school,1,Yes,
,school,2,Not in school,
,school,88,Not sure,
,schooling,1,Summer vacation,
,schooling,2,Child is home schooled,
,schooling,3,"Other, specify",
,scoreridr,1,Scorer 1,
,scoreridr,2,Scorer 2,
,seasons,0,All other months,
,seasons,1,August to November,
,sex,1,Male,
,sex,2,Female,
,signal,C3,C3,
,signal,C4,C4,
,signal,F3,F3,
,signal,F4,F4,
,signal,O1,O1,
,signal,O2,O2,
,signal,T3,T3,
,signal,T4,T4,
,signalofsleeptime,1,Signal good for < 25% of sleep time,
,signalofsleeptime,2,Signal good for 25-49% of sleep time,
,signalofsleeptime,3,Signal good for 50-74% of sleep time,
,signalofsleeptime,4,Signal good for 75-94% of sleep time,
,signalofsleeptime,5,Signal good for >= 95% of sleep time,
,sleepstage,0,Wake,
,sleepstage,1,Stage 1,
,sleepstage,2,Stage 2,
,sleepstage,3,Stage 3/4,
,sleepstage,4,Stage 3/4,
,sleepstage,5,REM stage,
,smoking,0,No,
,smoking,1,Yes (1+ per day),
,smoking,88,Not sure,
,snoring,1,Only slightly louder than heavy breathing,
,snoring,2,About as loud as mumbling or talking,
,snoring,3,Louder than talking,
,snoring,4,Extremely loud - can be heard through closed doors,
,snoring,88,Not sure,
,snoringsound,1,The same with each breath (snore),
,snoringsound,2,"Sometimes loud, sometimes soft",
,snoringsound,88,Not sure,
,startsnoring,0,< 1 year,
,startsnoring,1,1 year,
,startsnoring,2,2 years,
,startsnoring,3,3 years,
,startsnoring,4,4 years,
,startsnoring,5,5 years,
,startsnoring,6,6 years,
,startsnoring,7,7 years,
,startsnoring,8,8 years,
,startsnoring,9,9 years,
,startsnoring,88,Not sure,
,studygrade,3,Fair,
,studygrade,4,Good,
,studygrade,5,Very Good,
,studygrade,6,Excellent,
,studygrade,7,Outstanding,
,surgery_status,0,No surgery,
,surgery_status,1,Had surgery before month 7 NEPSY,
,surgery_status,2,Had surgery after month 7 NEPSY,
,surgery_status,3,Endpoint date (month 7 NEPSY) is missing,
,symptoms,0,No change in symptoms,
,symptoms,1,Change in symptoms,
,time,0,None of the time,
,time,1,Hardly any of the time,
,time,2,A little of the time,
,time,3,Some of the time,
,time,4,A good bit of the time,
,time,5,Most of the time,
,time,6,All of the time,
,time1,1,None of the time,
,time1,2,Hardly any of the time,
,time1,3,A little of the time,
,time1,4,Some of the time,
,time1,5,A good bit of the time,
,time1,6,Most of the time,
,time1,7,All of the time,
,tonsilarsize,1,0 - 50%,
,tonsilarsize,2,51 - 100%,
,tonsilsize2,1,1+ 0 - 25%,
,tonsilsize2,2,2+ 26 - 50%,
,tonsilsize2,3,3+ 51 - 75%,
,tonsilsize2,4,4+ 76 - 100%,
,tonsilsize2,99,Not done,
,traumaticclean,1,Traumatic,
,traumaticclean,2,Clean,
,treatment,0,Non treated,
,treatment,1,Treated,
,treatmentfailure,0,Non treatment failure,
,treatmentfailure,1,Treatment failure,
,unblinded,1,Neuropsychological scores fell outside the accepted range,
,unblinded,2,Participant experienced an sae related to medical intervention,
,unblinded,3,Parent or child inadvertently disclosed their treatment arm,
,unblinded,98,Other,
,unittype,1,Embla,
,unittype,2,Compumedics,
,unittype,3,Sandman,
,unittype,4,Grass,
,unittype,5,Biologic,
,unittype,6,XLTEC,
,valid1,1,Valid,
,valid1,2,Questionable,
,valid1,99,Not done,
,veinstatus,1,Vein collapse,
,veinstatus,2,Hematoma,
,veinstatus,3,Excessive duration of draw,
,veinstatus,4,Vein hard to get,
,veinstatus,5,Leakage at veinpuncture site,
,veinstatus,6,Multiple stick,
,versions,1,Version 1,
,versions,2,Version 2,
,vnum,3,Baseline,
,vnum,10,Follow-up,
,writinghand,1,Right,
,writinghand,2,Left,
,writinghand,3,Both,
,writinghand2,1,Right,
,writinghand2,2,Left,
,writinghand2,3,Alternated hands,
